央视IPV4,#genre#
CCTV-1 综合,http://183.147.168.61:8888/rtp/233.50.201.118:5140
CCTV-1 综合,http://219.140.133.164:8887/rtp/239.254.96.96:8550
CCTV-1 综合,http://59.55.34.159:20000/hls/1/index.m3u8
CCTV-1 综合,http://123.10.79.164:808/hls/1/index.m3u8
CCTV-1 综合,http://gzly.hkychina.com:6001/rtp/239.252.219.200:5140?Cf=cfss.cc
CCTV-1 综合,http://58.210.23.42:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://121.27.126.107:809/hls/1/index.m3u8
CCTV-1 综合,http://121.27.126.129:809/hls/1/index.m3u8
CCTV-1 综合,http://121.27.126.51:809/hls/1/index.m3u8
CCTV-1 综合,http://27.11.59.53:8005/udp/225.0.4.74:7980
CCTV-1 综合,http://61.240.37.114:8085/rtp/226.0.2.16:8040
CCTV-1 综合,http://60.220.167.77:8085/rtp/226.0.2.16:8040
CCTV-1 综合,http://61.240.37.114:8085/rtp/226.0.2.153:9136
CCTV-1 综合,http://60.220.167.77:8083/rtp/226.0.2.16:8040
CCTV-1 综合,http://60.220.167.77:8085/rtp/226.0.2.153:9136
CCTV-1 综合,http://60.220.167.77:8083/rtp/226.0.2.153:9136
CCTV-1 综合,http://222.71.189.186:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1 综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV-1 综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2 财经,http://liveop.cctv.cn:80/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-2 财经,http://183.147.168.61:8888/rtp/233.50.201.119:5140
CCTV-2 财经,http://219.140.133.164:8887/rtp/239.69.1.102:10250
CCTV-2 财经,http://123.10.79.164:808/hls/2/index.m3u8
CCTV-2 财经,http://58.210.23.42:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://gzly.hkychina.com:6001/rtp/239.252.220.183:5140?Cf=cfss.cc
CCTV-2 财经,http://121.27.126.129:809/hls/2/index.m3u8
CCTV-2 财经,http://121.27.126.107:809/hls/2/index.m3u8
CCTV-2 财经,http://121.27.126.51:809/hls/2/index.m3u8
CCTV-2 财经,http://61.240.37.114:8085/rtp/226.0.2.154:9144
CCTV-2 财经,http://60.220.167.77:8085/rtp/226.0.2.154:9144
CCTV-2 财经,http://60.220.167.77:8083/rtp/226.0.2.154:9144
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2 财经,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2 财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8
CCTV-2 财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-2 财经,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-2 财经,https://epg.pw/stream/e79a59eaaf446982a82f1e4a849cac3396187326626c5eace5eef5c167433c11.m3u8
CCTV-3 综艺,http://183.147.168.61:8888/rtp/233.50.201.196:5140
CCTV-3 综艺,http://219.140.133.164:8887/rtp/239.69.1.122:10370
CCTV-3 综艺,http://gzly.hkychina.com:6001/rtp/239.252.220.193:5140?Cf=cfss.cc
CCTV-3 综艺,http://123.10.79.164:808/hls/3/index.m3u8
CCTV-3 综艺,http://gzly.hkychina.com:6001/rtp/239.252.219.252:5140?Cf=cfss.cc
CCTV-3 综艺,http://121.27.126.51:809/hls/3/index.m3u8
CCTV-3 综艺,http://121.27.126.129:809/hls/3/index.m3u8
CCTV-3 综艺,http://58.210.23.42:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://61.240.37.114:8085/rtp/226.0.2.208:9576
CCTV-3 综艺,http://60.220.167.77:8083/rtp/226.0.2.208:9576
CCTV-3 综艺,http://60.220.167.77:8085/rtp/226.0.2.208:9576
CCTV-3 综艺,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV-3 综艺,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-3 综艺,http://121.27.126.107:809/hls/3/index.m3u8
CCTV-4 中文国际,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-4 中文国际,http://219.140.133.164:8887/rtp/239.69.1.138:10466
CCTV-4 中文国际,http://gzly.hkychina.com:6001/rtp/239.252.220.184:5140?Cf=cfss.cc
CCTV-4 中文国际,http://gzly.hkychina.com:6001/rtp/239.252.219.193:5140?Cf=cfss.cc
CCTV-4 中文国际,http://58.210.23.42:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 中文国际,http://60.220.167.77:8085/rtp/226.0.2.156:9160
CCTV-4 中文国际,http://61.240.37.114:8085/rtp/226.0.2.156:9160
CCTV-4 中文国际,http://60.220.167.77:8083/rtp/226.0.2.156:9160
CCTV-4 中文国际,http://gzly.hkychina.com:6001/rtp/239.252.219.192:5140?Cf=cfss.cc
CCTV-4 中文国际,http://222.71.189.186:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4 中文国际,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4 中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-4 中文国际,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4 中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5 体育,http://183.147.168.61:8888/rtp/233.50.201.197:5140
